Incident Number,Prefix,Incident Title,Incident Description,Incident Resolution,Resolution Team,Status,Status Update Date,Reported By,Institution,Institution Name,Reported Date,Location,Affected Person Department,Resolution Code,Source,Application Priority,Close Date
IN2519967,DUPLICATE, EDFC unable to complete/submit MCAF S eform in NBS (100253941254),"When accessing the billing system, the counter cash desk option is missing from the interface. Users expected to find the cash desk feature under the billing menu to process payments, but it is not visible. This issue affects multiple users across departments, leading to delayed payment processing. The expected outcome was easy access to the cash desk for handling transactions, but the feature is entirely absent.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,INPROG,7/10/2025 15:36,USER80,TTSH,Tan Tock Seng Hospital,7/10/2025 14:25,TTSH_EMER-BLK_B01_ED,PSO - Patient Service Centre,FIXCODE,EMAIL,2,
IN1320001,PENDING USER RESOLVE, Not all relevant NBS pages updated with correct doctor's name,"Users are unable to add a central category in the Scheme Inclusion Rule. After navigating to the section, entering details, and clicking 'Add,' the system fails to save or confirm the addition, showing an error. This issue impacts multiple departments, disrupting accurate billing processes. The expected outcome was successful category addition, but the system currently prevents it, leading to delays and manual workarounds.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/25/25 12:04 AM,USER84,TTSH,Tan Tock Seng Hospital,7/10/2025 14:49,TTSH,NCID - NCID Nursing,NO ACTION TAKEN,EMAIL,2,7/25/25 12:04 AM
IN7120045,PENDING USER RESOLVE," type Duplicate Flexi MSV scheme with balance, unable to bill patient as reflect outstanding,","The system is experiencing slowness across all NBS apps. Steps to reproduce: 1) Log in, 2) Use any NBS application. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, impacting productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/19/25 12:10 AM,USER10,TTSH,Tan Tock Seng Hospital,7/10/2025 15:19,TTSH_MC-BLK_B01_TBRCL,AO - Clinical Ops (Surgery) - Clinic,NO ACTION TAKEN,EMAIL,2,7/19/25 12:10 AM
IN3120056,, Lagged in reflecting amount paid in invoice via SPK,"The system is experiencing slowness across all NBS applications. Steps to reproduce: 1) Log in, 2) Use any NBS application, 3) Perform typical actions. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, impacting productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/22/25 12:08 AM,USER33,TTSH,Tan Tock Seng Hospital,7/10/2025 15:30,TTSH_ATR_L01_TTSHAEC,AO - Clinical Ops (Eye) - Clinic,NO ACTION TAKEN,EMAIL,2,7/22/25 12:08 AM
IN3020093,PENDING USER RESOLVE - SERVICE REQUEST, Add recipient for R005 and R687 reports,"The system identified that IP lines cancelled on 28/06 in EPIC were not reflected in NBS under PM Reference Number 100252467115. Steps to reproduce: 1) Access EPIC, 2) Verify IP line status, 3) Cross-check in NBS. Actual outcome: Discrepancy in IP line status between systems. Expected outcome: IP line status should sync across both systems. This issue affects multiple users and causes billing inconsistencies.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",REPORTS_ALL,CLOSED,7/23/25 12:07 AM,USER94,TTSH,Tan Tock Seng Hospital,7/10/2025 15:56,TTSH_MC-BLK_B02_PHAR-LAB,PH - Pharmacy Informatics,CONFIGURATION,EMAIL,2,7/23/25 12:07 AM
IN3220098,PENDING USER RESOLVE, Workitem email notification link not directing user to workitem,"The system displays an error when attempting to manage billable events: 'PM Reference ID 100252303971 could not be found.' Steps to reproduce: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter or select PM Reference ID 100252303971. Actual outcome: Error message appears, and the event cannot be managed. Expected outcome: The system should retrieve and display the billable event details. This issue affects multiple users, causing delays in billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/22/25 12:08 AM,USER54,TTSH,Tan Tock Seng Hospital,7/10/2025 15:58,TTSH,Fin - Business Office,NO ACTION TAKEN,EMAIL,3,7/22/25 12:08 AM
IN3120109,MONITORING, ICL charges on 07 Jul not flowing in NBS from EPIC [SR],"The system delayed retrieval of DS admission case CSN No. 100250781709 by 30 minutes due to batch job processing. Steps to reproduce: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter CSN No. 100250781709. Actual outcome: 30-minute delay before retrieval. Expected outcome: Immediate retrieval. This issue affects multiple users, causing delays in processing billable events.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,8/27/25 12:00 AM,USER15,TTSH,Tan Tock Seng Hospital,7/10/2025 16:07,TTSH_EMER-BLK_L03_INVA-CARD-LAB,Med - Cardiology,FIXCODE,EMAIL,2,8/27/25 12:00 AM
IN6020111,PENDING USER RESOLVE - SERVICE REQUEST, NBS charge recon error (Doc MCR not found),"The RCH system is experiencing slowness, impacting user operations. Steps to reproduce: 1) Log in, 2) Perform typical actions, 3) Monitor response time. Actual outcome: Delays in system responses. Expected outcome: Normal performance. This issue affects multiple users, leading to reduced productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/22/25 12:08 AM,USER31,TTSH,Tan Tock Seng Hospital,7/10/2025 16:08,TTSH_TB_L10_WD10C,NUR - Acute Care,NO ACTION TAKEN,EMAIL,2,7/22/25 12:08 AM
IN8620121,PENDING USER RESOLVE, Similar to IN1716484 - Admission Created on 07.07.2025 -No Billable Data Flown in NBS,"The NBS system is experiencing slowness, impacting performance. Steps to reproduce: 1) Log in, 2) Use any NBS application, 3) Perform typical actions. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, causing delays in billing processes and reduced productivity.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/19/25 12:10 AM,USER25,TTSH,Tan Tock Seng Hospital,7/10/2025 16:15,TTSH_MC-BLK_L02_2B-ENDO,NUR - Ambulatory,NO ACTION TAKEN,EMAIL,2,7/19/25 12:10 AM
IN2320146,PENDING USER RESOLVE, Inpatient lines cancelled in Epic and NBS but Inpatient bill not cancelled in NBS.,"When verifying mcaf-m in NBS, the system confirms the entry, but it does not appear in the interim bill. Steps to reproduce include navigating to the billing section, verifying mcaf-m, and checking the interim bill. The issue affects multiple users in the billing department, causing delays. The expected outcome is for verified mcaf-m to reflect in the interim bill, but it remains missing, leading to incomplete billing information.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/24/25 12:06 AM,USER77,TTSH,Tan Tock Seng Hospital,7/10/2025 16:33,TTSH_EMER-BLK_B01,Amb - Emergency Medicine,DATA ALTERED,EMAIL,2,7/24/25 12:06 AM
IN9620148,PENDING USER DECISION, Patient not belonging to AMKSC DS showing up on AMKSC R005 report,"When attempting to tag the GPfirst insurance code [SR] in the billing system, an error message appears stating 'Tagging Failed.' The issue occurs when selecting the insurance code from the dropdown menu and clicking 'Apply.' The expected outcome is the code being successfully tagged and saved, but instead, the system returns an error. This issue affects multiple users and prevents accurate insurance billing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",REPORTS_ALL,CLOSED,7/29/25 12:07 AM,USER90,TTSH,Tan Tock Seng Hospital,7/10/2025 16:35,TTSH_MC-BLK_L01_AMKSC-DAY-SUR,AO - MEC Ops - Clinic,NO ACTION TAKEN,EMAIL,2,7/29/25 12:07 AM
IN5220165,EXTERNAL, Missing charges from 28/6/25,"When attempting to switch between patient records in the NBS system, the context switch feature becomes unresponsive. Users have reported that after selecting a different patient or billing screen, the system freezes or fails to load the new context. The issue affects multiple users across different departments, leading to delays in processing billing requests. The expected outcome is seamless navigation between records, but the actual result is a system hang requiring manual restart.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/29/25 12:06 AM,USER16,TTSH,Tan Tock Seng Hospital,7/10/2025 16:54,TTSH_ATR_B01_DIA-RAD,Amb - Radiography Service,NO ACTION TAKEN,PHONECALL,2,7/29/25 12:06 AM
IN7820174,PENDING USER RESOLVE, MSV not reflected in invoice,"When attempting to sign forms in eFORM through NBS, an error message is displayed, preventing successful form submission. The issue occurs after selecting 'Submit' following form completion. Multiple users across departments have encountered this problem. The expected outcome is a confirmation of form submission, but the actual result is an error message, causing delays in form processing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/19/25 12:11 AM,USER31,TTSH,Tan Tock Seng Hospital,7/10/2025 17:00,TTSH_NNIBLK_B01_NEURO-RAD,,TRAINING,EMAIL,1,7/19/25 12:11 AM
IN5920180,PENDING USER RESOLVE, MSV FLEXI has unutilised amount in balnce inquiry but amount not captured. All flowing into Self Payor.,"When attempting to retrieve the R005 Charge Interface Error Report, users have noticed that the report is being generated and sent outside of the expected timeframe. The issue affects multiple departments relying on timely report availability. The expected outcome is to receive the report during designated business hours, but it is currently being sent at inconvenient times, causing delays in addressing charge interface errors.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/22/25 12:09 AM,USER85,TTSH,Tan Tock Seng Hospital,7/10/2025 17:01,TTSH-OFFSITE_NCID-BLKG_L01_SPEC-OP-CLI-J,NCID - NCID Nursing,NO ACTION TAKEN,EMAIL,2,7/22/25 12:09 AM
IN7120212,PENDING USER RESOLVE, Medisave Ranking NOK before patient's own - CLA,"When attempting to retrieve billable events using CSN Nos. 100224307872, 100246462562, 100249238046, and 100250618992 in Manage Billable Events, the system fails to display the events. Steps: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter CSN numbers, 4) Click search. Actual outcome: Events not shown; error message appears. Expected outcome: Events should display with details. Issue affects multiple users, causing reporting delays.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,9/2/2025 0:00,USER16,TTSH,Tan Tock Seng Hospital,7/10/2025 18:03,TTSH,PH - Pharmacy Practice,FIXCODE,EMAIL,2,9/2/2025 0:00
IN1520219,PENDING USER RESOLVE, 100247060237 User unable to access and edit patient PFA,"When attempting to process transactions at ED Counter 10, the UPOS command bridge was found not set up for both workstations. Users expected the system to automatically connect to the UPOS bridge for payment processing, but the connection is missing. This issue affects multiple users at the counter, leading to failed transactions. The expected outcome was seamless integration, but the system currently cannot process payments due to the missing setup.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/23/25 12:07 AM,USER35,TTSH,Tan Tock Seng Hospital,7/10/2025 18:12,TTSH_MC-BLK_L04_CLI4A,AO - Clinical Ops (Medicine) - Clinic,CONFIGURATION,EMAIL,2,7/23/25 12:07 AM
IN4820222,DUPLICATE," MSV HIV split claims not falling monthly, MSVCD claims also not capturing","When attempting to process transactions at counter 10, the UPOS integration is missing, preventing payment processing. Users expected the system to connect to UPOS for transactions, but the integration is not set up. This issue affects all staff at counter 10, requiring manual workarounds. The expected outcome was seamless payment processing via UPOS, but the system currently lacks this functionality, causing delays.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,INPROG,7/11/2025 9:18,USER47,TTSH,Tan Tock Seng Hospital,7/10/2025 18:16,TTSH_NCID-BLKG_L01_SPEC-OP-CLI-J,NCID - NCID Nursing,,EMAIL,2,
IN2120249,PENDING USER DECISION, EMAIL - NBS R005 REPORT ERROR DESCRIPTION,"When attempting to log into the NBS system using ADID credentials, users receive an 'Authentication Failed' error despite entering correct login details. The issue specifically affects ADID users, while other user groups can log in without problems. The expected outcome is successful login, but the actual result is an error message. This disrupts access to billing functions for affected users.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/27/25 12:00 AM,USER22,TTSH,Tan Tock Seng Hospital,7/10/2025 20:05,TTSH,NUR - Intensive Care,WORK AS DESIGN,EMAIL,2,7/27/25 12:00 AM
IN8820317,PENDING USER RESOLVE, ED System Error during payment.,"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/19/25 12:11 AM,USER54,TTSH,Tan Tock Seng Hospital,7/11/2025 7:34,TTSH,Amb - Emergency Medicine,NO ACTION TAKEN,PHONECALL,2,7/19/25 12:11 AM
IN9820393,PENDING USER RESOLVE, R005 NBS Charge Recon shown Service entries creation failed in NBS. (CSN 100251778093),"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/22/25 12:09 AM,USER19,TTSH,Tan Tock Seng Hospital,7/11/2025 9:31,TTSH_TB_L05_WD5C,NUR - Acute Care,NO ACTION TAKEN,EMAIL,2,7/22/25 12:09 AM
IN7620419,PENDING USER RESOLVE - SERVICE REQUEST, NBS Charge Recon error - 69172J is not a valid Doctor MCR in Institution T1SG. CSN - 100253327999,"When attempting to install the Topaz Driver for TTSH eForms as per the email instructions, users encounter an 'Installation Failed' error during the setup process. This issue affects multiple users across departments. The expected outcome is a successful installation enabling the use of eForms, but instead, the installation fails, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/22/25 12:09 AM,USER51,TTSH,Tan Tock Seng Hospital,7/11/2025 9:44,TTSH_TB_L10_WD10B,NUR - Acute Care,NO ACTION TAKEN,EMAIL,2,7/22/25 12:09 AM
IN2620482,PENDING USER RESOLVE, ward 13B R005 Recon Records - that fail to interface to NBS Similar to IN1720393 (CSN 100251600590 100253059184),"When attempting to access the National Billing System, users enter their credentials but receive an 'Authentication Failed' error. This issue affects multiple colleagues across different departments. The expected outcome is successful login to the dashboard, but instead, users are redirected to an error page. The problem persists despite repeated attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/24/25 12:06 AM,USER55,TTSH,Tan Tock Seng Hospital,7/11/2025 10:28,TTSH_TB_L13_WD13B,NUR - Acute Care,NO ACTION TAKEN,EMAIL,2,7/24/25 12:06 AM
IN7220496,PENDING USER RESOLVE, staffs sometime never receive email for R687 and/or R005,"When attempting to access the National Billing System (NBS), users enter their credentials but receive an 'Authentication Failed' error. This issue affects multiple colleagues across various departments. The expected outcome is a successful login to the dashboard, but instead, users are redirected to an error page. The problem persists despite repeated attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",REPORTS_ALL,CLOSED,7/26/25 12:05 AM,USER81,TTSH,Tan Tock Seng Hospital,7/11/2025 10:40,TTSH_MC-BLK_B02_PHAR-LAB,PH - Pharmacy Informatics,NO ACTION TAKEN,CHAT,3,7/26/25 12:05 AM
IN2820541,PENDING USER RESOLVE, Patient was supposed to receive 2 charges but RELVAR still have not flown into NBS after many days. (PHI-TTSH-2507001582),"When attempting to access the Cash Desk Monitoring & Handover Confirmation feature, users are unable to locate their branch in the dropdown selection. Steps to reproduce: 1) Log in to the system, 2) Navigate to Cash Desk Monitoring, 3) Click on the branch dropdown. Actual outcome: The branch list is empty or missing. Expected outcome: The dropdown should display all available branches for selection. This issue affects multiple users across different departments, causing delays in handover confirmations.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/20/25 12:01 AM,USER71,TTSH,Tan Tock Seng Hospital,7/11/2025 11:02,TTSH_TB_B02_OP-PHA,PH - Pharmacy Practice,NO ACTION TAKEN,EMAIL,2,7/20/25 12:01 AM
IN2120553,PENDING USER RESOLVE - SERVICE REQUEST, charge Recon R005 - SE dated 09.07.2025 09:23:57 of DOC01003 : 69172J is not a valid Doctor MCR in Institution T1SG. CSN: 100253289039,"When attempting to access the BS staging environment via logon at devhealthgrp.com.sg, users encounter an 'Access Denied' error after entering credentials. This issue affects multiple developers and testers. The expected outcome is a successful login to the staging environment, but instead, users are redirected to an error page. The problem persists across multiple login attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/23/25 12:07 AM,USER69,TTSH,Tan Tock Seng Hospital,7/11/2025 11:11,TTSH_TB_L12_WD12D,NUR - Acute Care,CONFIGURATION,EMAIL,2,7/23/25 12:07 AM
IN2220557,PENDING USER RESOLVE," Patient still has MSV balance for CDMP and Flexi but after generate test bill, only flexi covered instead of CDMP. By right should cover in (Before NBS Live) (100252157231)","When accessing the billing system, the counter cash desk option is missing from the interface. Users expected to find the cash desk feature under the billing menu to process payments, but it is not visible. This issue affects multiple users across departments, leading to delayed payment processing. The expected outcome was easy access to the cash desk for handling transactions, but the feature is entirely absent.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/24/25 12:06 AM,USER87,TTSH,Tan Tock Seng Hospital,7/11/2025 11:15,TTSH_ANX-BLK-2_L01_ADV-REHAB-THERA,IO - Ops (DICC) - Clinic,CONFIGURATION,EMAIL,3,7/24/25 12:06 AM
IN5420567,PENDING USER RESOLVE, T1SG_BT_R005_Charge Interface Error Report CSN: 100251978877,"Users are unable to add a central category in the Scheme Inclusion Rule. After navigating to the section, entering details, and clicking 'Add,' the system fails to save or confirm the addition, showing an error. This issue impacts multiple departments, disrupting accurate billing processes. The expected outcome was successful category addition, but the system currently prevents it, leading to delays and manual workarounds.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/23/25 12:07 AM,USER62,TTSH,Tan Tock Seng Hospital,7/11/2025 11:24,TTSH_TB_L03_WD3A,NUR - Intensive Care,NO ACTION TAKEN,EMAIL,2,7/23/25 12:07 AM
IN5020573,PENDING USER RESOLVE, ward 13C R005 Recon Records - that fail to interface to NBS Similar to IN1720393 & IN1720482 (100252989135),"The system is experiencing slowness across all NBS apps. Steps to reproduce: 1) Log in, 2) Use any NBS application. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, impacting productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/23/25 12:04 AM,USER46,TTSH,Tan Tock Seng Hospital,7/11/2025 11:27,TTSH_TB_L13_WD13C,NUR - Acute Care,NO ACTION TAKEN,EMAIL,3,7/23/25 12:04 AM
IN2920583,PENDING USER RESOLVE," Charge Recon Error 100247723725, 100250217577","The system is experiencing slowness across all NBS applications. Steps to reproduce: 1) Log in, 2) Use any NBS application, 3) Perform typical actions. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, impacting productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/22/25 12:10 AM,USER47,TTSH,Tan Tock Seng Hospital,7/11/2025 11:41,TTSH_TB_L11_WD11C,NUR - Acute Care,NO ACTION TAKEN,CHAT,3,7/22/25 12:10 AM
IN7720617,PENDING USER RESOLVE, ED and IP Bills not created in NBS and Movement lines in Epic and NBS not in sequence 100253746245 - CLA,"The system identified that IP lines cancelled on 28/06 in EPIC were not reflected in NBS under PM Reference Number 100252467115. Steps to reproduce: 1) Access EPIC, 2) Verify IP line status, 3) Cross-check in NBS. Actual outcome: Discrepancy in IP line status between systems. Expected outcome: IP line status should sync across both systems. This issue affects multiple users and causes billing inconsistencies.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/22/25 12:10 AM,USER63,TTSH,Tan Tock Seng Hospital,7/11/2025 12:10,TTSH_EMER-BLK_B01,Amb - Emergency Medicine,NO ACTION TAKEN,EMAIL,2,7/22/25 12:10 AM
IN2920628,PENDING USER RESOLVE,  Unable to generate test bill csn:100247116396,"The system displays an error when attempting to manage billable events: 'PM Reference ID 100252303971 could not be found.' Steps to reproduce: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter or select PM Reference ID 100252303971. Actual outcome: Error message appears, and the event cannot be managed. Expected outcome: The system should retrieve and display the billable event details. This issue affects multiple users, causing delays in billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/22/25 12:10 AM,USER16,TTSH,Tan Tock Seng Hospital,7/11/2025 12:20,TTSH_MC-BLK_L04_CLI4A,AO - Clinical Ops (Medicine) - Clinic,NO ACTION TAKEN,EMAIL,2,7/22/25 12:10 AM
IN6520687,, Unable to use flexi ranking even though patient eligible to use (100236395412),"The system delayed retrieval of DS admission case CSN No. 100250781709 by 30 minutes due to batch job processing. Steps to reproduce: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter CSN No. 100250781709. Actual outcome: 30-minute delay before retrieval. Expected outcome: Immediate retrieval. This issue affects multiple users, causing delays in processing billable events.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/20/25 12:01 AM,USER62,TTSH,Tan Tock Seng Hospital,7/11/2025 13:28,TTSH_MC-BLK_L04_CLI4A,AO - Clinical Ops (Medicine) - Clinic,TRAINING,EMAIL,2,7/20/25 12:01 AM
IN7620691,DUPLICATE," MSVARTHIV not utilised, amount dropped to self-payor (100253113575)","The RCH system is experiencing slowness, impacting user operations. Steps to reproduce: 1) Log in, 2) Perform typical actions, 3) Monitor response time. Actual outcome: Delays in system responses. Expected outcome: Normal performance. This issue affects multiple users, leading to reduced productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,INPROG,7/11/2025 14:32,USER57,TTSH,Tan Tock Seng Hospital,7/11/2025 13:33,TTSH_NCID-BLKG_L01_SPEC-OP-CLI-J,NCID - NCID Nursing,,EMAIL,2,
IN8020696,PENDING USER RESOLVE," Check-in BMD encounter in EPIC under Outpatient CSN 100248511898, when PSA register the BMD in Radiology Centricity, the interface CSN is under inpatient CSN 100248160712.","The NBS system is experiencing slowness, impacting performance. Steps to reproduce: 1) Log in, 2) Use any NBS application, 3) Perform typical actions. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, causing delays in billing processes and reduced productivity.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/23/25 12:08 AM,USER51,TTSH,Tan Tock Seng Hospital,7/11/2025 13:47,TTSH_MC-BLK_B01_CLIB1A,Amb - Radiography Service,NO ACTION TAKEN,EMAIL,2,7/23/25 12:08 AM
